,index,Name,Dates,Prices,Link,Filtered
60,504,EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-02-28,120.0,https://www.ebay.com/itm/115268404464?epid=16021686725&hash=item1ad68844f0:g:6L4AAOSwUaViGW1g,False
61,517,MSI GeForce GTX 1050 2GB Dual Fan,2022-02-28,140.0,https://www.ebay.com/itm/403479456011?hash=item5df13fe90b:g:5l4AAOSwz9Rh2aQa,False
62,526,"ZOTAC GeForce GTX 1050 Mini - 2GB GDDR5 DisplayPort, HDMI, Dual-Link DVI-D",2022-02-27,100.0,https://www.ebay.com/itm/403498661707?epid=2164368606&hash=item5df264f74b:g:Sn8AAOSwLdliGEtr,False
63,541,MSI NVIDIA GeForce GTX 1050 2GB GDDR5 Graphics Card,2022-02-27,116.31,https://www.ebay.com/itm/294824343772?epid=0&hash=item44a4e678dc:g:7PcAAOSwLehiEo~K,False
64,546,Asus GTX 1050-O2G 2Gb GPU,2022-02-27,126.0,https://www.ebay.com/itm/154859737407?hash=item240e5c113f:g:wh0AAOSwoCFiEmIk,False
65,548,NVIDIA GeForce GTX 1050DE 2GB VGA HDMI Graphics Card GTX1050DE ZE9007 HF,2022-02-27,119.99,https://www.ebay.com/itm/334343453030?hash=item4dd86c3966:g:CzwAAOSwsS5iGQAS,False
67,572,GIGABYTE GeForce GTX 1050 2GB Graphics Card,2022-02-26,139.95,https://www.ebay.com/itm/234415868594?epid=25026719829&hash=item3694464ab2:g:cv8AAOSwLOJiBeEM,False
69,636,EVGA Geforce GTX 1050 2GB Graphics Card,2022-02-23,102.5,https://www.ebay.com/itm/313884425474?epid=16021686725&hash=item4914f83d02:g:PngAAOSwn~RiEtXp,False
71,653,ASUS GeForce GTX 1050 2GB Graphics Card (Dual-GTX1050-2G),2022-02-22,120.5,https://www.ebay.com/itm/334331411051?hash=item4dd7b47a6b:g:RScAAOSwvBhiDE6P,False
72,665,GIGABYTE GeForce GTX 1050 2GB Graphics Card (GVN1050D5-2GD),2022-02-22,99.0,https://www.ebay.com/itm/154861778721?hash=item240e7b3721:g:bAMAAOSwbEFiE6g2,False
73,671,GIGABYTE GeForce GTX 1050 2GB GDDR5 Graphics Card (GVN1050D5-2GD),2022-02-21,87.0,https://www.ebay.com/itm/144414552357?hash=item219fc73125:g:zyAAAOSwQ8xiCcCd,False
75,678,HP NVIDIA GTX 1050 2GB GDDR5 PCIE GRAPHICS CARD DVI/DP/HDMI - Video Card,2022-02-21,117.87,https://www.ebay.com/itm/125147936228?hash=item1d2365f5e4:g:Y~wAAOSwwzZiCdWK,False
76,686,GIGABYTE GeForce GTX 1050 DirectX 12 GV-N1050OC-2GD 2GB 128-Bit GDDR5 Video Card,2022-02-21,115.5,https://www.ebay.com/itm/115250676548?hash=item1ad579c344:g:8PcAAOSw44piCpPn,False
77,689,ASUS NVIDIA GEFORCE GTX 1050 2GB GPU VRAM GRAPHICS CARD PC GAMING USED T12-B11,2022-02-21,135.0,https://www.ebay.com/itm/294817426436?hash=item44a47cec04:g:Fc4AAOSwbeZiDVz6,False
79,697,NIVIDIA GEOFORCE GTX 1050 2GB GRAPHICS CARD ,2022-02-20,100.0,https://www.ebay.com/itm/325059466831?hash=item4baf0dd64f:g:QIoAAOSwPdNiESUu,False
80,706,"EVGA GeForce GTX 1050 SC Gaming (2Gb, GDDR5 Graphics Card)",2022-02-20,120.0,https://www.ebay.com/itm/284652332205?hash=item424699e4ad:g:DigAAOSwUChiCU-S,False
81,715,GIGABYTE GeForce GTX 1050 2GB Graphics Card,2022-02-20,112.5,https://www.ebay.com/itm/284652102406?epid=25026719829&hash=item4246966306:g:MjMAAOSwLy9iCSIO,False
82,718,MSI GeForce GTX 1050 2GB OC HDMI/ DVI Graphics Card,2022-02-19,99.0,https://www.ebay.com/itm/203836643170?hash=item2f759c5762:g:v~8AAOSwynFiD9he,False
83,721,Gigabyte NVIDIA GeForce GTX1050 2GB DDR5 DVI/HDMI PCI-Express Video Card,2022-02-19,117.5,https://www.ebay.com/itm/255393736163?hash=item3b76a725e3:g:LLAAAOSwzbFiEEA9,False
85,749,EVGA Nvidia Geforce GTX 1050 2GB Graphics Card,2022-02-18,107.68,https://www.ebay.com/itm/265548474803?hash=item3dd3ec29b3:g:-N0AAOSwLuBiCYJs,False
86,753,Gigabyte NVIDIA GeForce GTX 1050 WINDFORCE 2GB DDR5 GV-N1050WF2OC-2GD Video Card,2022-02-18,117.5,https://www.ebay.com/itm/275163716601?hash=item4011091bf9:g:gkkAAOSwbeZiBrbr,False
87,760,Gigabyte Geforce GTX 1050 2GB GDDR5 128 Bit PCI-E Graphic Card (GV-N1050OC-2GD),2022-02-17,111.15,https://www.ebay.com/itm/194816617841?epid=25026719829&hash=item2d5bf9ad71:g:bIsAAOSw6hRiBdSv,False
89,766,MSI NVIDIA GeForce GTX1050 2GB GDDR5 PCI-E Graphics Video Card DP DVI HDMI,2022-02-17,104.5,https://www.ebay.com/itm/134020928963?hash=item1f344515c3:g:IXIAAOSwSSZh9vAT,False
90,784,GIGABYTE GeForce GTX 1050 2GB GDDR5 128 Bit PCI-E Graphics Card (GV-N1050OC-2GD),2022-02-16,110.5,https://www.ebay.com/itm/203829440787?epid=25026719829&hash=item2f752e7113:g:H-IAAOSwNXpiBtQC,False
92,811,GIGABYTE NVIDIA GeForce GTX 1050 2GB GDDR5 Graphics Card (GV-N1050WF2OC-2GD),2022-02-15,40.0,https://www.ebay.com/itm/334322162002?epid=2256039066&hash=item4dd7275952:g:Ku0AAOSwDGJiApJ5,False
93,814,"EVGA GeForce GTX 1050 SC Gaming (2Gb, GDDR5 Graphics Card)",2022-02-14,107.5,https://www.ebay.com/itm/203825681682?hash=item2f74f51512:g:VfoAAOSwhTViAB9L,False
