,index,Name,Dates,Prices,Link,Filtered
60,76,Asus GeForce GTX 1050 Ti 4GB GDDR5 Video Graphics Card DUAL-GTX1050TI-O4G,2022-03-23,169.99,https://www.ebay.com/itm/175208570695?epid=5027250635&hash=item28cb3e9f47:g:TYgAAOSwGoRiJ6wE,False
61,77,ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (PHGTX1050TI4G),2022-03-23,150.0,https://www.ebay.com/itm/185350460112?epid=18036427347&hash=item2b27bf92d0:g:W~sAAOSwX8ZiLp6j,False
62,78,GIGABYTE GTX 1050 Ti OC 4GB GDDR5 Graphics Card (GV-N105TOC-4GD),2022-03-23,123.5,https://www.ebay.com/itm/384784654758?epid=26037356601&hash=item5996f3e1a6:g:S9EAAOSwWdZhIhJs,False
63,80,"EVGA GeForce GTX 1050 TI Gaming (4GB, GDDR5 Graphics Card)",2022-03-23,145.0,https://www.ebay.com/itm/224900468906?epid=20003297363&hash=item345d1cd0aa:g:YhgAAOSw0qRiOmP0,False
64,81,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-23,132.5,https://www.ebay.com/itm/393990043466?epid=20003297363&hash=item5bbba2f74a:g:RKAAAOSwYyxiMm~I,False
65,82,MSI GTX1050Ti4GTLP NVIDIA GeForce GTX 1050Ti 4GB GDDR5 Graphics Card,2022-03-23,142.5,https://www.ebay.com/itm/403545664775?epid=20032166712&hash=item5df5322d07:g:4OIAAOSwOPZiFDKW,False
66,83,NVIDIA GeForce GTX 1050 TI 4GB GDDR5 Graphics Card EXCELLENT! Free Shipping,2022-03-23,155.0,https://www.ebay.com/itm/144474411324?hash=item21a358913c:g:CJ8AAOSwDXliO39f,False
67,84,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card) open box",2022-03-23,160.0,https://www.ebay.com/itm/224893796902?epid=20003297363&hash=item345cb70226:g:q2MAAOSwteZiNPEK,False
68,85,EVGA NVIDIA GEFORCE GTX 1050TI SC GRAPHICS CARD | 4GB GDDR5,2022-03-23,160.0,https://www.ebay.com/itm/334375295714?hash=item4dda521ae2:g:HfkAAOSwM0tiOhja,False
69,86,NEW GeForce GTX 1050 4GB MXM3.0 Tybe-A Video Graphics Card N17P-G0-A1,2022-03-23,152.15,https://www.ebay.com/itm/164852411029?hash=item2661f82a95:g:vxUAAOSwVSFfHTkq,False
71,90,MSI GeForce GTX 1050 Ti 4GB PCI Express 3.0 Graphics Card,2022-03-22,187.5,https://www.ebay.com/itm/115297044438?epid=2305807244&hash=item1ad83d47d6:g:JQoAAOSwIDNiL~9J,False
72,92,EVGA NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 GPU (04G-P4-6251-KR) -,2022-03-22,157.5,https://www.ebay.com/itm/144463603465?hash=item21a2b3a709:g:IAcAAOSwAwhiMR7J,False
73,94,EVGA GeForce GTX 1050 Ti,2022-03-22,132.5,https://www.ebay.com/itm/334365612124?hash=item4dd9be585c:g:IooAAOSwlkViMPYw,False
74,97,ASUS Cerberus GeForce GTX 1050 TI 4gb OC Edition Gddr5 Gaming Graphics Card,2022-03-22,181.41,https://www.ebay.com/itm/353961307239?epid=10026728776&hash=item5269bcec67:g:Pe8AAOSwNGBiCF5c,False
75,99,MSI NVIDIA GeForce GTX 1050 TI 4GB GDDR5 Graphics Card,2022-03-22,143.5,https://www.ebay.com/itm/175201795507?epid=21030523268&hash=item28cad73db3:g:6eQAAOSwH4JiMKcG,False
76,100,Asus GeForce GTX 1050 Ti 4GB Single Fan TESTED W/ Box - No I/O Shield ,2022-03-22,149.95,https://www.ebay.com/itm/203877911315?epid=28031984310&hash=item2f78120b13:g:QZgAAOSwN~diNngt,False
77,101,GIGABYTE GeForce GTX 1050 TI Windforce OC 4GB GDDR5 Graphics Card,2022-03-21,185.0,https://www.ebay.com/itm/203865039338?epid=18032167986&hash=item2f774da1ea:g:fDIAAOSwekRiBIB2,False
79,104,ASUS GeForce GTX 1050Ti 4GB,2022-03-21,138.5,https://www.ebay.com/itm/275216658456?hash=item401430f018:g:oLsAAOSw2YxiMqCj,False
81,106,GIGABYTE GV-N105TWF2OC-4GD GEFORCE GTX 1050 TI  4GB GDDR5 Graphics card #75290#,2022-03-21,150.0,https://www.ebay.com/itm/265606879681?hash=item3dd76759c1:g:x7gAAOSwTSJiOM6K,False
82,107,Asus GeForce GTX 1050 Ti 4GB Phoenix Fan Edition PH-GTX1050TI-4G Graphic Card ,2022-03-21,127.5,https://www.ebay.com/itm/304398022554?epid=28031984310&hash=item46df89379a:g:k4IAAOSwA81iL-1S,False
85,110,MSI GeForce 4GB (GTX 1050 TI GAMING X 4G) Graphics Card,2022-03-21,187.5,https://www.ebay.com/itm/304396246409?hash=item46df6e1d89:g:91AAAOSwNcxh4Zca,False
86,114,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-21,169.88,https://www.ebay.com/itm/125202474455?epid=20003297363&hash=item1d26a625d7:g:uW4AAOSwlpdh-~9F,False
88,116,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-21,142.5,https://www.ebay.com/itm/384787578854?epid=20003297363&hash=item5997207fe6:g:7F0AAOSwgP9iK5TJ,False
89,117,ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (PHGTX1050TI4G). NO RESERVE!!!!,2022-03-21,134.88,https://www.ebay.com/itm/284702831805?epid=18036427347&hash=item42499c74bd:g:rFAAAOSwMMJiL6My,False
90,118,MSI GeForce 4GB (GTX 1050 TI GAMING X 4G) Graphics Card,2022-03-21,187.5,https://www.ebay.com/itm/194914721614?epid=10021692240&hash=item2d61d29f4e:g:JqIAAOSwyR9iCup6,False
92,120,DELL GEFORCE GTX 1050TI 4GB GDDR5 GRAPHICS CARD CN-0DVP9W 0DVP9W DVP9W ,2022-03-21,125.0,https://www.ebay.com/itm/165393760123?hash=item26823c7f7b:g:UMIAAOSwm-9iN9YT,False
93,121,EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0 04G-P4-6255-KR 4GB GDDR5,2022-03-21,149.0,https://www.ebay.com/itm/265605146690?hash=item3dd74ce842:g:IykAAOSwzmViN2p2,False
95,124,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-20,150.0,https://www.ebay.com/itm/325111015850?epid=20003297363&hash=item4bb22069aa:g:cGgAAOSwjyNiN8~k,False
98,127,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-20,132.5,https://www.ebay.com/itm/203867843651?epid=20003297363&hash=item2f77786c43:g:vH0AAOSwYgZiLpej,False
