Name,Dates,Prices,Link
ZOTAC Geforce GTX 1050 Ti Mini 4GB GDDR5 Gaming Graphic Card (ZT-P10510A-10L),2022-03-25 00:00:00,110.5,https://www.ebay.com/itm/373982990379?epid=14026724690&hash=item57131f902b:g:X88AAOSwY0ZiNOFY
Used MSI NVIDIA GeForce GTX 1050 TI GAMING X 4GB TWIN FROZR VI ,2022-03-25 00:00:00,136.0,https://www.ebay.com/itm/185340745894?epid=21030523268&hash=item2b272b58a6:g:BxcAAOSwrltiMMCG
GTX 1050 sc 2GB graphics card,2022-03-25 00:00:00,120.0,https://www.ebay.com/itm/353966383677?hash=item526a0a623d:g:zXkAAOSwY~piBqqr
GeForce GTX 1050 OC 2GB Video Card GIGABYTE GV-N1050OC-2GD,2022-03-25 00:00:00,119.07,https://www.ebay.com/itm/284713673030?epid=25026719829&hash=item424a41e146:g:0u8AAOSw-kJiNzQa
ASUS NVIDIA GeForce GTX 1050 TI STRIX OC Gaming 4gb Gddr5 ,2022-03-25 00:00:00,150.0,https://www.ebay.com/itm/384798876498?epid=5026729071&hash=item5997cce352:g:NBIAAOSwM6NiPe4g
ZOTAC Geforce GTX 1050 Ti Mini,2022-03-25 00:00:00,117.5,https://www.ebay.com/itm/284709858440?epid=14026724690&hash=item424a07ac88:g:H0EAAOSw59FiNJnu
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-25 00:00:00,122.78,https://www.ebay.com/itm/384793304254?epid=20003297363&hash=item599777dcbe:g:xx0AAOSwppViOcmv
EVGA GeForce GTX 1050 Ti FTW 4GB GDDR5 Graphics Card ACX 3.0,2022-03-25 00:00:00,150.0,https://www.ebay.com/itm/373990107523?epid=16028670613&hash=item57138c2983:g:kWAAAOSwJw9iKXzq
PNY GeForce GTX 1050 Ti OC 4GB GDDR5 Graphics Card,2022-03-25 00:00:00,155.0,https://www.ebay.com/itm/373985832545?hash=item57134aee61:g:RE4AAOSwebJiHZ1H
MSI GEFORCE GTX 1050 TI 4GB GDDR5 LOW PROFILE *BOX ONLY NO GPU*,2022-03-25 00:00:00,15.0,https://www.ebay.com/itm/363685456562?hash=item54ad57aab2:g:5hIAAOSw5~dh3DsW
EVGA GeForce GTX 1050 TI 4gb SC Gaming,2022-03-24 00:00:00,120.5,https://www.ebay.com/itm/393991817905?epid=20003297363&hash=item5bbbbe0ab1:g:pU4AAOSwRU5iM~1O
MSI GeForce GTX 1050 Ti 4 GT OC 4GB 128-Bit GDDR5 HDCP Ready ATX Video Card,2022-03-24 00:00:00,140.0,https://www.ebay.com/itm/304405954961?epid=22025879252&hash=item46e0024191:g:bH8AAOSwGWliG-T~
GEFORCE GTX 1050 2GB,2022-03-24 00:00:00,97.06,https://www.ebay.com/itm/154904540988?hash=item241107b73c:g:jbQAAOSwve1iKpbX
Asus GeForce GTX 1050 Ti 4GB Phoenix Fan Edition PH-GTX1050TI-4G Graphic Card ,2022-03-24 00:00:00,143.0,https://www.ebay.com/itm/144472901094?epid=28031984310&hash=item21a34185e6:g:DZQAAOSwW~FiOgqe
EVGA GeForce® GTX 1050 Ti Superclocked Gaming 4GB GDDR5,2022-03-24 00:00:00,170.0,https://www.ebay.com/itm/144470892776?epid=20003297363&hash=item21a322e0e8:g:11kAAOSwblJiN9LP
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-24 00:00:00,128.5,https://www.ebay.com/itm/194922652250?epid=20003297363&hash=item2d624ba25a:g:lIEAAOSw-FxiM7pZ
Open Box - Nvidia Geforce GTX 1050 Ti 4GB GDDR5 128 Bit PCI-E Graphic Card,2022-03-24 00:00:00,150.0,https://www.ebay.com/itm/373978580279?epid=23021240346&hash=item5712dc4537:g:ug4AAOSwZaRiMRwv
ASUS Phoenix GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card,2022-03-24 00:00:00,138.5,https://www.ebay.com/itm/255441229734?epid=19003115284&hash=item3b797bd7a6:g:LZYAAOSw2uNiMijz
EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-24 00:00:00,125.0,https://www.ebay.com/itm/384788996964?epid=16021686725&hash=item5997362364:g:XIsAAOSwMWpiNiww
